selection_role,selection_reason,image_id,image_path,true_label,persistence_rank,error_decisions,error_rate_pct,architectures_failing,dominant_wrong_label,max_incorrect_confidence,correct_decisions,correct_rate_pct,mean_true_class_probability
matched_correct_control,Correct in all 16 independent runs; matched to CNV,CNV/CNV-2177326-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\CNV\CNV-2177326-1.jpeg,CNV,,0,,,,,16.0,100.0,0.9999876394867897
matched_correct_control,Correct in all 16 independent runs; matched to DME,DME/DME-1102486-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-1102486-2.jpeg,DME,,0,,,,,16.0,100.0,0.9998789094388485
matched_correct_control,Correct in all 16 independent runs; matched to DME,DME/DME-138971-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-138971-1.jpeg,DME,,0,,,,,16.0,100.0,0.9998781122267246
matched_correct_control,Correct in all 16 independent runs; matched to DME,DME/DME-2126962-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-2126962-1.jpeg,DME,,0,,,,,16.0,100.0,0.9999073371291161
matched_correct_control,Correct in all 16 independent runs; matched to DME,DME/DME-30521-4.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-30521-4.jpeg,DME,,0,,,,,16.0,100.0,0.9999027885496616
matched_correct_control,Correct in all 16 independent runs; matched to DME,DME/DME-3731953-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-3731953-1.jpeg,DME,,0,,,,,16.0,100.0,0.9999102279543877
matched_correct_control,Correct in all 16 independent runs; matched to DME,DME/DME-5072525-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-5072525-1.jpeg,DME,,0,,,,,16.0,100.0,0.9999298043549061
matched_correct_control,Correct in all 16 independent runs; matched to DME,DME/DME-7780589-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-7780589-1.jpeg,DME,,0,,,,,16.0,100.0,0.9998963959515095
matched_correct_control,Correct in all 16 independent runs; matched to DME,DME/DME-8989419-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-8989419-1.jpeg,DME,,0,,,,,16.0,100.0,0.9998835287988186
matched_correct_control,Correct in all 16 independent runs; matched to DRUSEN,DRUSEN/DRUSEN-1225603-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-1225603-1.jpeg,DRUSEN,,0,,,,,16.0,100.0,0.9990954846143723
matched_correct_control,Correct in all 16 independent runs; matched to DRUSEN,DRUSEN/DRUSEN-1225603-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-1225603-2.jpeg,DRUSEN,,0,,,,,16.0,100.0,0.9981268607079983
matched_correct_control,Correct in all 16 independent runs; matched to DRUSEN,DRUSEN/DRUSEN-1237848-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-1237848-1.jpeg,DRUSEN,,0,,,,,16.0,100.0,0.998324241489172
matched_correct_control,Correct in all 16 independent runs; matched to DRUSEN,DRUSEN/DRUSEN-1237848-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-1237848-2.jpeg,DRUSEN,,0,,,,,16.0,100.0,0.9969374500215054
matched_correct_control,Correct in all 16 independent runs; matched to DRUSEN,DRUSEN/DRUSEN-1237848-3.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-1237848-3.jpeg,DRUSEN,,0,,,,,16.0,100.0,0.9992200024425983
matched_correct_control,Correct in all 16 independent runs; matched to DRUSEN,DRUSEN/DRUSEN-1487749-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-1487749-1.jpeg,DRUSEN,,0,,,,,16.0,100.0,0.9983578845858574
matched_correct_control,Correct in all 16 independent runs; matched to DRUSEN,DRUSEN/DRUSEN-1487749-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-1487749-2.jpeg,DRUSEN,,0,,,,,16.0,100.0,0.9975808672606945
