persistence_rank,image_id,image_path,true_label,error_decisions,architectures_failing,failing_architectures,dominant_wrong_label,wrong_label_counts,mean_incorrect_confidence,max_incorrect_confidence,min_incorrect_confidence,errors_confidence_ge_90,errors_confidence_ge_95,errors_confidence_ge_99,failing_run_keys,total_independent_runs,total_architectures,error_rate_pct,all_architectures_failed,persistent_ge_half_runs
12,DRUSEN/DRUSEN-7513011-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-7513011-1.jpeg,DRUSEN,6,3,cbam_resnet|se_resnet|vit_b16,CNV,CNV:6,0.7912299,0.9346903,0.64139444,1,0,0,cbam_resnet_S18_seed3407|cbam_resnet_S7_seed42|cbam_resnet_S8_seed84|se_resnet_S11_seed3407|vit_b16_S14_seed84|vit_b16_S15_seed126,16,4,37.5,False,False
13,DRUSEN/DRUSEN-8549730-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8549730-1.jpeg,DRUSEN,6,3,cbam_resnet|resnet_baseline|se_resnet,CNV,CNV:6,0.65190345,0.836368,0.539315,0,0,0,cbam_resnet_S7_seed42|cbam_resnet_S9_seed126|resnet_baseline_S17_seed3407|se_resnet_S11_seed3407|se_resnet_S2_seed42|se_resnet_S5_seed84,16,4,37.5,False,False
14,DRUSEN/DRUSEN-8039905-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8039905-1.jpeg,DRUSEN,5,3,resnet_baseline|se_resnet|vit_b16,CNV,CNV:5,0.76843894,0.8918773,0.6468213,0,0,0,resnet_baseline_S3_seed84|se_resnet_S11_seed3407|vit_b16_S12_seed42|vit_b16_S14_seed84|vit_b16_S16_seed3407,16,4,31.25,False,False
15,DRUSEN/DRUSEN-349021-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-349021-1.jpeg,DRUSEN,5,3,cbam_resnet|se_resnet|vit_b16,CNV,CNV:5,0.6760585,0.77737087,0.50519335,0,0,0,cbam_resnet_S18_seed3407|cbam_resnet_S8_seed84|se_resnet_S2_seed42|vit_b16_S12_seed42|vit_b16_S14_seed84,16,4,31.25,False,False
16,DRUSEN/DRUSEN-7710023-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-7710023-1.jpeg,DRUSEN,4,3,cbam_resnet|se_resnet|vit_b16,CNV,CNV:4,0.6309042,0.7308969,0.5688961,0,0,0,cbam_resnet_S18_seed3407|se_resnet_S5_seed84|vit_b16_S14_seed84|vit_b16_S16_seed3407,16,4,25.0,False,False
17,DRUSEN/DRUSEN-2403178-3.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2403178-3.jpeg,DRUSEN,4,3,resnet_baseline|se_resnet|vit_b16,CNV,CNV:4,0.5937927,0.70822793,0.511048,0,0,0,resnet_baseline_S3_seed84|se_resnet_S2_seed42|vit_b16_S12_seed42|vit_b16_S15_seed126,16,4,25.0,False,False
18,CNV/CNV-4283050-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\CNV\CNV-4283050-1.jpeg,CNV,4,2,cbam_resnet|resnet_baseline,DME,DME:4,0.7715862,0.92487407,0.62546957,1,0,0,cbam_resnet_S9_seed126|resnet_baseline_S10_seed126|resnet_baseline_S17_seed3407|resnet_baseline_S1_seed42,16,4,25.0,False,False
19,DRUSEN/DRUSEN-4314625-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-4314625-1.jpeg,DRUSEN,4,2,se_resnet|vit_b16,CNV,CNV:4,0.63383883,0.6936312,0.6010525,0,0,0,se_resnet_S11_seed3407|se_resnet_S6_seed126|vit_b16_S14_seed84|vit_b16_S16_seed3407,16,4,25.0,False,False
20,DRUSEN/DRUSEN-7345121-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-7345121-1.jpeg,DRUSEN,3,3,cbam_resnet|resnet_baseline|se_resnet,CNV,CNV:3,0.6843806,0.8881741,0.5218069,0,0,0,cbam_resnet_S9_seed126|resnet_baseline_S1_seed42|se_resnet_S11_seed3407,16,4,18.75,False,False
21,DRUSEN/DRUSEN-2510299-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2510299-1.jpeg,DRUSEN,3,2,cbam_resnet|se_resnet,CNV,CNV:3,0.84352463,0.92678183,0.68332964,2,0,0,cbam_resnet_S18_seed3407|cbam_resnet_S7_seed42|se_resnet_S5_seed84,16,4,18.75,False,False
22,DME/DME-8000885-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-8000885-1.jpeg,DME,3,2,cbam_resnet|se_resnet,CNV,CNV:3,0.7465501,0.920313,0.56072026,1,0,0,cbam_resnet_S18_seed3407|se_resnet_S11_seed3407|se_resnet_S5_seed84,16,4,18.75,False,False
23,DME/DME-5802218-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-5802218-1.jpeg,DME,3,2,cbam_resnet|se_resnet,CNV,CNV:3,0.78608173,0.9069227,0.5499632,2,0,0,cbam_resnet_S18_seed3407|cbam_resnet_S8_seed84|se_resnet_S5_seed84,16,4,18.75,False,False
24,DRUSEN/DRUSEN-3214955-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-3214955-1.jpeg,DRUSEN,3,2,resnet_baseline|vit_b16,CNV,CNV:3,0.72671205,0.8588091,0.5439781,0,0,0,resnet_baseline_S1_seed42|resnet_baseline_S3_seed84|vit_b16_S15_seed126,16,4,18.75,False,False
25,DRUSEN/DRUSEN-1246453-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-1246453-1.jpeg,DRUSEN,3,2,cbam_resnet|vit_b16,CNV,CNV:3,0.76462346,0.8477603,0.7037789,0,0,0,cbam_resnet_S8_seed84|vit_b16_S12_seed42|vit_b16_S14_seed84,16,4,18.75,False,False
26,DRUSEN/DRUSEN-8854406-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8854406-1.jpeg,DRUSEN,3,2,cbam_resnet|se_resnet,CNV,CNV:3,0.6184335,0.752756,0.518354,0,0,0,cbam_resnet_S18_seed3407|se_resnet_S11_seed3407|se_resnet_S2_seed42,16,4,18.75,False,False
27,DRUSEN/DRUSEN-4293095-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-4293095-1.jpeg,DRUSEN,3,2,se_resnet|vit_b16,CNV,CNV:3,0.58102095,0.62785023,0.54325944,0,0,0,se_resnet_S6_seed126|vit_b16_S14_seed84|vit_b16_S15_seed126,16,4,18.75,False,False
28,DME/DME-1430899-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-1430899-1.jpeg,DME,3,1,cbam_resnet,CNV,CNV:3,0.6177657,0.80397564,0.5126318,0,0,0,cbam_resnet_S18_seed3407|cbam_resnet_S7_seed42|cbam_resnet_S8_seed84,16,4,18.75,False,False
29,DRUSEN/DRUSEN-7710023-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-7710023-2.jpeg,DRUSEN,2,2,cbam_resnet|se_resnet,CNV,CNV:2,0.7315599,0.9493933,0.5137265,1,0,0,cbam_resnet_S18_seed3407|se_resnet_S5_seed84,16,4,12.5,False,False
30,DRUSEN/DRUSEN-2108193-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2108193-1.jpeg,DRUSEN,2,2,cbam_resnet|se_resnet,CNV,CNV:2,0.7305274,0.94258547,0.5184693,1,0,0,cbam_resnet_S18_seed3407|se_resnet_S2_seed42,16,4,12.5,False,False
31,DRUSEN/DRUSEN-7915033-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-7915033-1.jpeg,DRUSEN,2,2,cbam_resnet|se_resnet,CNV,CNV:2,0.76316464,0.9420832,0.58424616,1,0,0,cbam_resnet_S18_seed3407|se_resnet_S2_seed42,16,4,12.5,False,False
32,DRUSEN/DRUSEN-3439251-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-3439251-1.jpeg,DRUSEN,2,2,cbam_resnet|se_resnet,CNV,CNV:2,0.84315413,0.9389809,0.7473274,1,0,0,cbam_resnet_S7_seed42|se_resnet_S11_seed3407,16,4,12.5,False,False
33,CNV/CNV-1305450-3.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\CNV\CNV-1305450-3.jpeg,CNV,2,2,se_resnet|vit_b16,DME,DME:2,0.8178162,0.8894491,0.7461833,0,0,0,se_resnet_S6_seed126|vit_b16_S14_seed84,16,4,12.5,False,False
34,DRUSEN/DRUSEN-2128644-3.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2128644-3.jpeg,DRUSEN,2,2,se_resnet|vit_b16,CNV,CNV:2,0.7383599,0.8443465,0.6323734,0,0,0,se_resnet_S5_seed84|vit_b16_S16_seed3407,16,4,12.5,False,False
35,DRUSEN/DRUSEN-8870525-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8870525-1.jpeg,DRUSEN,2,2,resnet_baseline|se_resnet,CNV,CNV:2,0.61212766,0.70334345,0.52091193,0,0,0,resnet_baseline_S1_seed42|se_resnet_S6_seed126,16,4,12.5,False,False
36,DRUSEN/DRUSEN-4304015-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-4304015-1.jpeg,DRUSEN,2,2,cbam_resnet|vit_b16,CNV,CNV:2,0.6111115,0.7023187,0.5199044,0,0,0,cbam_resnet_S7_seed42|vit_b16_S16_seed3407,16,4,12.5,False,False
37,DRUSEN/DRUSEN-2403178-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2403178-2.jpeg,DRUSEN,2,1,vit_b16,CNV,CNV:2,0.96396875,0.9822495,0.94568807,2,1,0,vit_b16_S12_seed42|vit_b16_S16_seed3407,16,4,12.5,False,False
38,DRUSEN/DRUSEN-4878077-5.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-4878077-5.jpeg,DRUSEN,2,1,vit_b16,CNV,CNV:2,0.6608461,0.761646,0.5600463,0,0,0,vit_b16_S14_seed84|vit_b16_S16_seed3407,16,4,12.5,False,False
39,DRUSEN/DRUSEN-3017923-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-3017923-1.jpeg,DRUSEN,2,1,vit_b16,CNV,CNV:2,0.5160848,0.52625203,0.5059176,0,0,0,vit_b16_S15_seed126|vit_b16_S16_seed3407,16,4,12.5,False,False
40,DRUSEN/DRUSEN-6193297-5.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-6193297-5.jpeg,DRUSEN,1,1,se_resnet,CNV,CNV:1,0.94300973,0.94300973,0.94300973,1,0,0,se_resnet_S11_seed3407,16,4,6.25,False,False
41,DME/DME-9333524-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-9333524-1.jpeg,DME,1,1,vit_b16,CNV,CNV:1,0.8748776,0.8748776,0.8748776,0,0,0,vit_b16_S15_seed126,16,4,6.25,False,False
42,DRUSEN/DRUSEN-2403178-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2403178-1.jpeg,DRUSEN,1,1,cbam_resnet,CNV,CNV:1,0.8623934,0.8623934,0.8623934,0,0,0,cbam_resnet_S7_seed42,16,4,6.25,False,False
43,DRUSEN/DRUSEN-2108193-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2108193-2.jpeg,DRUSEN,1,1,se_resnet,CNV,CNV:1,0.8571927,0.8571927,0.8571927,0,0,0,se_resnet_S2_seed42,16,4,6.25,False,False
44,DRUSEN/DRUSEN-9059831-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-9059831-1.jpeg,DRUSEN,1,1,cbam_resnet,CNV,CNV:1,0.84283817,0.84283817,0.84283817,0,0,0,cbam_resnet_S7_seed42,16,4,6.25,False,False
45,CNV/CNV-1894770-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\CNV\CNV-1894770-2.jpeg,CNV,1,1,resnet_baseline,DME,DME:1,0.82143646,0.82143646,0.82143646,0,0,0,resnet_baseline_S10_seed126,16,4,6.25,False,False
46,DRUSEN/DRUSEN-8656509-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8656509-1.jpeg,DRUSEN,1,1,vit_b16,CNV,CNV:1,0.8144931,0.8144931,0.8144931,0,0,0,vit_b16_S16_seed3407,16,4,6.25,False,False
47,DRUSEN/DRUSEN-8605472-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8605472-1.jpeg,DRUSEN,1,1,cbam_resnet,CNV,CNV:1,0.8085906,0.8085906,0.8085906,0,0,0,cbam_resnet_S7_seed42,16,4,6.25,False,False
48,CNV/CNV-417468-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\CNV\CNV-417468-1.jpeg,CNV,1,1,cbam_resnet,DME,DME:1,0.7616463,0.7616463,0.7616463,0,0,0,cbam_resnet_S7_seed42,16,4,6.25,False,False
49,DME/DME-7837305-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-7837305-2.jpeg,DME,1,1,vit_b16,CNV,CNV:1,0.742671,0.742671,0.742671,0,0,0,vit_b16_S12_seed42,16,4,6.25,False,False
50,DRUSEN/DRUSEN-8708331-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8708331-1.jpeg,DRUSEN,1,1,se_resnet,CNV,CNV:1,0.7336413,0.7336413,0.7336413,0,0,0,se_resnet_S2_seed42,16,4,6.25,False,False
51,DRUSEN/DRUSEN-3439251-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-3439251-2.jpeg,DRUSEN,1,1,cbam_resnet,CNV,CNV:1,0.7326971,0.7326971,0.7326971,0,0,0,cbam_resnet_S7_seed42,16,4,6.25,False,False
52,DRUSEN/DRUSEN-8251771-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8251771-1.jpeg,DRUSEN,1,1,vit_b16,CNV,CNV:1,0.6716551,0.6716551,0.6716551,0,0,0,vit_b16_S16_seed3407,16,4,6.25,False,False
53,DRUSEN/DRUSEN-8440718-4.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8440718-4.jpeg,DRUSEN,1,1,se_resnet,CNV,CNV:1,0.6428247,0.6428247,0.6428247,0,0,0,se_resnet_S6_seed126,16,4,6.25,False,False
54,DRUSEN/DRUSEN-5710007-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-5710007-1.jpeg,DRUSEN,1,1,se_resnet,CNV,CNV:1,0.6372996,0.6372996,0.6372996,0,0,0,se_resnet_S6_seed126,16,4,6.25,False,False
55,DRUSEN/DRUSEN-2257047-4.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2257047-4.jpeg,DRUSEN,1,1,se_resnet,CNV,CNV:1,0.6263219,0.6263219,0.6263219,0,0,0,se_resnet_S11_seed3407,16,4,6.25,False,False
56,DRUSEN/DRUSEN-4291972-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-4291972-1.jpeg,DRUSEN,1,1,vit_b16,CNV,CNV:1,0.6243157,0.6243157,0.6243157,0,0,0,vit_b16_S16_seed3407,16,4,6.25,False,False
57,NORMAL/NORMAL-1907560-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\NORMAL\NORMAL-1907560-1.jpeg,NORMAL,1,1,resnet_baseline,DRUSEN,DRUSEN:1,0.6185359,0.6185359,0.6185359,0,0,0,resnet_baseline_S17_seed3407,16,4,6.25,False,False
58,NORMAL/NORMAL-697826-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\NORMAL\NORMAL-697826-1.jpeg,NORMAL,1,1,cbam_resnet,DRUSEN,DRUSEN:1,0.60812765,0.60812765,0.60812765,0,0,0,cbam_resnet_S7_seed42,16,4,6.25,False,False
59,DRUSEN/DRUSEN-2257047-8.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2257047-8.jpeg,DRUSEN,1,1,vit_b16,CNV,CNV:1,0.6069757,0.6069757,0.6069757,0,0,0,vit_b16_S12_seed42,16,4,6.25,False,False
