persistence_rank,image_id,image_path,true_label,error_decisions,architectures_failing,dominant_wrong_label,errors_cbam_resnet,errors_resnet_baseline,errors_se_resnet,errors_vit_b16,error_rate_pct_cbam_resnet,error_rate_pct_resnet_baseline,error_rate_pct_se_resnet,error_rate_pct_vit_b16
15,DRUSEN/DRUSEN-349021-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-349021-1.jpeg,DRUSEN,5,3,CNV,2,0,1,2,50.0,0.0,25.0,50.0
16,DRUSEN/DRUSEN-7710023-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-7710023-1.jpeg,DRUSEN,4,3,CNV,1,0,1,2,25.0,0.0,25.0,50.0
17,DRUSEN/DRUSEN-2403178-3.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2403178-3.jpeg,DRUSEN,4,3,CNV,0,1,1,2,0.0,25.0,25.0,50.0
18,CNV/CNV-4283050-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\CNV\CNV-4283050-1.jpeg,CNV,4,2,DME,1,3,0,0,25.0,75.0,0.0,0.0
19,DRUSEN/DRUSEN-4314625-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-4314625-1.jpeg,DRUSEN,4,2,CNV,0,0,2,2,0.0,0.0,50.0,50.0
20,DRUSEN/DRUSEN-7345121-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-7345121-1.jpeg,DRUSEN,3,3,CNV,1,1,1,0,25.0,25.0,25.0,0.0
21,DRUSEN/DRUSEN-2510299-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2510299-1.jpeg,DRUSEN,3,2,CNV,2,0,1,0,50.0,0.0,25.0,0.0
22,DME/DME-8000885-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-8000885-1.jpeg,DME,3,2,CNV,1,0,2,0,25.0,0.0,50.0,0.0
23,DME/DME-5802218-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-5802218-1.jpeg,DME,3,2,CNV,2,0,1,0,50.0,0.0,25.0,0.0
24,DRUSEN/DRUSEN-3214955-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-3214955-1.jpeg,DRUSEN,3,2,CNV,0,2,0,1,0.0,50.0,0.0,25.0
25,DRUSEN/DRUSEN-1246453-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-1246453-1.jpeg,DRUSEN,3,2,CNV,1,0,0,2,25.0,0.0,0.0,50.0
26,DRUSEN/DRUSEN-8854406-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8854406-1.jpeg,DRUSEN,3,2,CNV,1,0,2,0,25.0,0.0,50.0,0.0
27,DRUSEN/DRUSEN-4293095-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-4293095-1.jpeg,DRUSEN,3,2,CNV,0,0,1,2,0.0,0.0,25.0,50.0
28,DME/DME-1430899-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-1430899-1.jpeg,DME,3,1,CNV,3,0,0,0,75.0,0.0,0.0,0.0
29,DRUSEN/DRUSEN-7710023-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-7710023-2.jpeg,DRUSEN,2,2,CNV,1,0,1,0,25.0,0.0,25.0,0.0
30,DRUSEN/DRUSEN-2108193-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2108193-1.jpeg,DRUSEN,2,2,CNV,1,0,1,0,25.0,0.0,25.0,0.0
31,DRUSEN/DRUSEN-7915033-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-7915033-1.jpeg,DRUSEN,2,2,CNV,1,0,1,0,25.0,0.0,25.0,0.0
32,DRUSEN/DRUSEN-3439251-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-3439251-1.jpeg,DRUSEN,2,2,CNV,1,0,1,0,25.0,0.0,25.0,0.0
33,CNV/CNV-1305450-3.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\CNV\CNV-1305450-3.jpeg,CNV,2,2,DME,0,0,1,1,0.0,0.0,25.0,25.0
34,DRUSEN/DRUSEN-2128644-3.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2128644-3.jpeg,DRUSEN,2,2,CNV,0,0,1,1,0.0,0.0,25.0,25.0
35,DRUSEN/DRUSEN-8870525-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8870525-1.jpeg,DRUSEN,2,2,CNV,0,1,1,0,0.0,25.0,25.0,0.0
36,DRUSEN/DRUSEN-4304015-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-4304015-1.jpeg,DRUSEN,2,2,CNV,1,0,0,1,25.0,0.0,0.0,25.0
37,DRUSEN/DRUSEN-2403178-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2403178-2.jpeg,DRUSEN,2,1,CNV,0,0,0,2,0.0,0.0,0.0,50.0
38,DRUSEN/DRUSEN-4878077-5.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-4878077-5.jpeg,DRUSEN,2,1,CNV,0,0,0,2,0.0,0.0,0.0,50.0
39,DRUSEN/DRUSEN-3017923-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-3017923-1.jpeg,DRUSEN,2,1,CNV,0,0,0,2,0.0,0.0,0.0,50.0
40,DRUSEN/DRUSEN-6193297-5.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-6193297-5.jpeg,DRUSEN,1,1,CNV,0,0,1,0,0.0,0.0,25.0,0.0
41,DME/DME-9333524-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-9333524-1.jpeg,DME,1,1,CNV,0,0,0,1,0.0,0.0,0.0,25.0
42,DRUSEN/DRUSEN-2403178-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2403178-1.jpeg,DRUSEN,1,1,CNV,1,0,0,0,25.0,0.0,0.0,0.0
43,DRUSEN/DRUSEN-2108193-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2108193-2.jpeg,DRUSEN,1,1,CNV,0,0,1,0,0.0,0.0,25.0,0.0
44,DRUSEN/DRUSEN-9059831-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-9059831-1.jpeg,DRUSEN,1,1,CNV,1,0,0,0,25.0,0.0,0.0,0.0
45,CNV/CNV-1894770-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\CNV\CNV-1894770-2.jpeg,CNV,1,1,DME,0,1,0,0,0.0,25.0,0.0,0.0
46,DRUSEN/DRUSEN-8656509-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8656509-1.jpeg,DRUSEN,1,1,CNV,0,0,0,1,0.0,0.0,0.0,25.0
47,DRUSEN/DRUSEN-8605472-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8605472-1.jpeg,DRUSEN,1,1,CNV,1,0,0,0,25.0,0.0,0.0,0.0
48,CNV/CNV-417468-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\CNV\CNV-417468-1.jpeg,CNV,1,1,DME,1,0,0,0,25.0,0.0,0.0,0.0
49,DME/DME-7837305-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-7837305-2.jpeg,DME,1,1,CNV,0,0,0,1,0.0,0.0,0.0,25.0
50,DRUSEN/DRUSEN-8708331-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8708331-1.jpeg,DRUSEN,1,1,CNV,0,0,1,0,0.0,0.0,25.0,0.0
51,DRUSEN/DRUSEN-3439251-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-3439251-2.jpeg,DRUSEN,1,1,CNV,1,0,0,0,25.0,0.0,0.0,0.0
52,DRUSEN/DRUSEN-8251771-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8251771-1.jpeg,DRUSEN,1,1,CNV,0,0,0,1,0.0,0.0,0.0,25.0
53,DRUSEN/DRUSEN-8440718-4.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-8440718-4.jpeg,DRUSEN,1,1,CNV,0,0,1,0,0.0,0.0,25.0,0.0
54,DRUSEN/DRUSEN-5710007-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-5710007-1.jpeg,DRUSEN,1,1,CNV,0,0,1,0,0.0,0.0,25.0,0.0
55,DRUSEN/DRUSEN-2257047-4.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2257047-4.jpeg,DRUSEN,1,1,CNV,0,0,1,0,0.0,0.0,25.0,0.0
56,DRUSEN/DRUSEN-4291972-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-4291972-1.jpeg,DRUSEN,1,1,CNV,0,0,0,1,0.0,0.0,0.0,25.0
57,NORMAL/NORMAL-1907560-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\NORMAL\NORMAL-1907560-1.jpeg,NORMAL,1,1,DRUSEN,0,1,0,0,0.0,25.0,0.0,0.0
58,NORMAL/NORMAL-697826-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\NORMAL\NORMAL-697826-1.jpeg,NORMAL,1,1,DRUSEN,1,0,0,0,25.0,0.0,0.0,0.0
59,DRUSEN/DRUSEN-2257047-8.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2257047-8.jpeg,DRUSEN,1,1,CNV,0,0,0,1,0.0,0.0,0.0,25.0
60,DRUSEN/DRUSEN-2489093-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2489093-1.jpeg,DRUSEN,1,1,CNV,0,0,0,1,0.0,0.0,0.0,25.0
61,DRUSEN/DRUSEN-6264369-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-6264369-1.jpeg,DRUSEN,1,1,CNV,0,0,0,1,0.0,0.0,0.0,25.0
62,DRUSEN/DRUSEN-2185112-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2185112-2.jpeg,DRUSEN,1,1,CNV,0,0,0,1,0.0,0.0,0.0,25.0
63,DME/DME-9579219-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-9579219-1.jpeg,DME,1,1,CNV,0,0,1,0,0.0,0.0,25.0,0.0
64,DRUSEN/DRUSEN-2510299-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2510299-2.jpeg,DRUSEN,1,1,CNV,0,0,0,1,0.0,0.0,0.0,25.0
65,DRUSEN/DRUSEN-584218-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-584218-1.jpeg,DRUSEN,1,1,CNV,0,0,0,1,0.0,0.0,0.0,25.0
66,DME/DME-3064922-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-3064922-1.jpeg,DME,1,1,CNV,1,0,0,0,25.0,0.0,0.0,0.0
67,DRUSEN/DRUSEN-3424668-3.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-3424668-3.jpeg,DRUSEN,1,1,CNV,1,0,0,0,25.0,0.0,0.0,0.0
68,DRUSEN/DRUSEN-4973287-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-4973287-1.jpeg,DRUSEN,1,1,CNV,0,1,0,0,0.0,25.0,0.0,0.0
69,NORMAL/NORMAL-446851-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\NORMAL\NORMAL-446851-2.jpeg,NORMAL,1,1,DME,1,0,0,0,25.0,0.0,0.0,0.0
